@RELATION TrainingData.arff

@ATTRIBUTE Aluminium numeric
@ATTRIBUTE Krzem numeric
@ATTRIBUTE Magnez numeric
@ATTRIBUTE Miedz numeric
@ATTRIBUTE Cynk numeric
@ATTRIBUTE Cyna numeric
@ATTRIBUTE Nikiel numeric
@ATTRIBUTE Zelazo numeric
@ATTRIBUTE Olow numeric
@ATTRIBUTE TemperaturaWytapiania numeric
@ATTRIBUTE CzasWytapiania numeric
@ATTRIBUTE TemperaturaStudzenia numeric
@ATTRIBUTE CzasPodgrzewania numeric
@ATTRIBUTE TemperaturaStudzenia2 numeric
@ATTRIBUTE CzasPodgrzewania2 numeric
@ATTRIBUTE StopieńUszlachetniania numeric
@ATTRIBUTE Jakość numeric

@DATA
80,20,0,0,0,0,0,0,0,1393,44,797,5,443,10,5,52
80,20,0,0,0,0,0,0,0,830,37,463,23,307,32,5,11
80,20,0,0,0,0,0,0,0,1091,30,782,19,288,18,5,20
80,20,0,0,0,0,0,0,0,1351,56,843,17,401,21,4,60
80,20,0,0,0,0,0,0,0,1098,54,727,15,332,32,3,44
80,20,0,0,0,0,0,0,0,1532,33,1095,6,412,10,3,35
80,20,0,0,0,0,0,0,0,739,41,501,6,204,21,1,0
80,20,0,0,0,0,0,0,0,824,69,484,14,320,22,1,1
80,20,0,0,0,0,0,0,0,852,60,647,14,343,20,1,6
80,20,0,0,0,0,0,0,0,1044,36,705,15,433,23,2,21
80,20,0,0,0,0,0,0,0,1145,69,763,14,391,36,1,21
80,20,0,0,0,0,0,0,0,1467,52,1008,6,393,23,5,74
80,20,0,0,0,0,0,0,0,1254,38,951,23,390,29,3,33
80,20,0,0,0,0,0,0,0,1487,66,1105,10,438,26,3,37
80,20,0,0,0,0,0,0,0,1480,39,1095,14,616,14,1,42
80,20,0,0,0,0,0,0,0,862,50,616,23,361,27,1,12
80,20,0,0,0,0,0,0,0,809,63,603,9,217,36,2,4
80,20,0,0,0,0,0,0,0,1192,60,830,9,462,34,4,38
80,20,0,0,0,0,0,0,0,1336,35,1056,9,524,27,2,27
80,20,0,0,0,0,0,0,0,1365,33,925,17,421,25,4,42
80,20,0,0,0,0,0,0,0,1463,30,997,22,547,39,1,27
80,20,0,0,0,0,0,0,0,1214,57,720,11,389,36,1,36
80,20,0,0,0,0,0,0,0,1084,49,663,8,425,17,4,38
80,20,0,0,0,0,0,0,0,959,69,748,24,370,17,4,12
80,20,0,0,0,0,0,0,0,1206,61,750,22,467,32,4,36
80,20,0,0,0,0,0,0,0,1647,64,1253,13,508,26,4,45
80,20,0,0,0,0,0,0,0,953,36,533,23,274,12,2,11
80,20,0,0,0,0,0,0,0,1187,48,863,20,441,30,4,47
80,20,0,0,0,0,0,0,0,1471,57,937,19,579,20,2,59
80,20,0,0,0,0,0,0,0,929,42,678,13,310,16,1,14
80,20,0,0,0,0,0,0,0,900,63,576,21,233,31,1,9
80,20,0,0,0,0,0,0,0,1219,67,938,17,483,12,1,19
80,20,0,0,0,0,0,0,0,1297,31,969,9,539,34,2,21
80,20,0,0,0,0,0,0,0,1021,62,560,11,361,38,4,20
80,20,0,0,0,0,0,0,0,1115,37,730,22,363,26,1,25
80,20,0,0,0,0,0,0,0,737,37,470,13,231,19,2,2
80,20,0,0,0,0,0,0,0,1137,39,888,12,380,23,2,25
80,20,0,0,0,0,0,0,0,1148,46,711,16,433,38,5,45
80,20,0,0,0,0,0,0,0,1142,60,867,6,385,21,2,26
80,20,0,0,0,0,0,0,0,706,40,454,13,221,12,3,4
80,20,0,0,0,0,0,0,0,749,47,580,9,226,26,3,4
80,20,0,0,0,0,0,0,0,1339,31,800,14,438,28,1,25
80,20,0,0,0,0,0,0,0,865,63,477,12,216,13,4,11
80,20,0,0,0,0,0,0,0,1156,39,678,19,428,36,5,33
80,20,0,0,0,0,0,0,0,1683,47,1046,6,482,34,3,68
80,20,0,0,0,0,0,0,0,1153,45,853,21,347,35,1,32
80,20,0,0,0,0,0,0,0,1207,30,883,13,307,27,2,19
80,20,0,0,0,0,0,0,0,1393,68,781,9,399,31,3,28
80,20,0,0,0,0,0,0,0,1579,52,1235,6,497,16,1,54
80,20,0,0,0,0,0,0,0,1100,67,796,11,343,31,5,25
80,20,0,0,0,0,0,0,0,1617,50,1221,19,615,17,2,67
80,20,0,0,0,0,0,0,0,1175,46,652,20,390,16,5,41
80,20,0,0,0,0,0,0,0,1529,67,1093,17,471,34,2,37
80,20,0,0,0,0,0,0,0,1052,65,710,10,422,34,3,22
80,20,0,0,0,0,0,0,0,1082,33,847,22,284,28,3,15
80,20,0,0,0,0,0,0,0,1429,33,821,20,433,31,4,35
