m1,m2,m3,m4,m5,t1,cz1,t2,cz2,ocena
8,56,24,11,1,1117,146,1050,157,good
64,21,13,1,1,943,174,1479,119,bad
24,22,21,20,13,945,143,1001,111,medium
9,54,21,2,14,991,125,1313,165,medium
7,55,19,18,1,1111,165,1134,154,v.good
34,33,29,2,2,1114,190,1110,145,medium
9,8,39,26,18,1055,110,1056,184,medium
8,52,5,22,13,1093,144,1064,173,v.good
55,3,23,18,1,1004,156,1191,140,good
9,76,3,2,10,1102,183,1313,198,v.good
24,23,22,17,14,954,162,1468,169,medium
67,6,4,22,1,1114,148,1341,195,good
5,46,27,21,1,1078,160,1391,133,good
7,35,26,19,13,1169,119,1116,139,good
9,63,3,13,12,1049,119,1141,134,v.good
6,31,26,23,14,1151,198,1369,173,medium
30,21,20,16,13,1117,178,1072,188,medium
8,6,44,32,10,1082,106,1418,153,medium
6,39,24,17,14,857,138,1048,191,medium
33,30,16,11,10,1191,176,1006,165,medium
4,36,29,18,13,815,137,1253,175,good
31,27,23,18,1,1184,167,1491,194,medium
45,20,17,17,1,1016,134,1390,187,medium
3,28,26,25,18,857,117,1392,129,medium
31,30,23,2,14,865,185,1323,109,medium
4,32,31,21,12,827,191,1206,148,good
9,7,44,20,20,810,121,1023,164,medium
56,5,4,22,13,1046,167,1444,111,good
27,19,19,19,16,1127,114,1181,113,medium
66,4,2,17,11,823,188,1110,100,medium
4,33,26,25,12,962,142,1355,163,medium
7,34,3,28,28,1071,189,1454,137,medium
6,45,33,2,14,863,173,1242,200,medium
7,39,20,19,15,1132,181,1123,163,medium
9,31,25,24,11,1180,153,1070,120,good
29,28,17,15,11,1021,105,1169,143,medium
54,5,3,23,15,1027,116,1495,155,good
51,3,25,20,1,1187,145,1172,139,good
77,5,16,1,1,884,119,1000,176,good
35,21,18,15,11,1192,149,1406,100,medium
7,41,24,15,13,1104,170,1428,104,good
52,4,17,17,10,1019,132,1494,170,good
28,26,23,13,10,1114,125,1126,165,medium
9,39,21,16,15,1184,135,1163,141,good
62,3,2,19,14,938,100,1179,193,good
8,56,4,21,11,956,169,1373,194,good
9,8,41,25,17,976,157,1143,200,good
32,23,17,17,11,1166,183,1026,115,medium
9,6,38,26,21,846,133,1441,115,medium
36,28,21,2,13,884,137,1484,151,medium
9,40,24,14,13,1022,156,1233,158,good
26,25,18,18,13,849,195,1226,106,medium
6,33,30,17,14,865,200,1256,175,medium
7,25,25,23,20,1102,177,1142,171,medium
5,31,24,22,18,814,109,1149,193,medium
54,4,4,20,18,902,112,1352,125,medium
34,26,21,18,1,1086,189,1498,145,good
30,20,20,17,13,897,114,1136,118,medium
4,26,25,23,22,828,135,1194,181,medium
8,4,33,31,24,844,124,1261,150,medium
32,25,19,12,12,1015,199,1047,130,medium
6,31,25,22,16,835,144,1417,141,medium
9,5,39,28,19,951,147,1074,166,medium
36,33,20,10,1,1043,154,1217,155,medium
28,23,22,16,11,1113,156,1301,141,medium
8,5,37,35,15,910,100,1352,121,medium
51,17,17,14,1,1031,118,1144,167,medium
8,51,24,16,1,989,178,1168,165,good
27,24,18,17,14,1086,162,1184,177,medium
32,27,24,2,15,859,150,1375,117,medium
5,31,23,22,19,1196,117,1496,113,medium
40,4,4,32,20,1032,116,1098,137,medium
73,6,6,14,1,1101,113,1133,110,medium
7,7,55,3,28,975,178,1324,199,good
9,62,6,22,1,893,130,1267,137,v.good
68,5,4,3,20,952,165,1085,141,good
4,35,32,17,12,966,183,1459,129,medium
9,6,45,25,15,971,139,1136,126,medium
31,30,2,19,18,862,177,1091,196,good
27,27,18,17,11,949,188,1462,178,medium
